,asin,name,rating_x,date,verified,title_x,body,helpfulVotes,brand,title_y,url,image,rating_y,reviewUrl,totalReviews,price,originalPrice
41686,B0775451TT,Max,1,"November 7, 2018",True,Cracked and does not turn on.,The screen was cracked and the phone did not turn in after 24 hours of charging.,124.0,Apple,"Apple iPhone X, 256GB, Silver - For AT&T / T-Mobile (Renewed)",https://www.amazon.com/Apple-iPhone-Fully-Unlocked-256GB/dp/B0775451TT,https://m.media-amazon.com/images/I/81yZOQEC+NL._AC_UY218_ML3_.jpg,3.9,https://www.amazon.com/product-reviews/B0775451TT,436,479.0,749.99
41687,B0775451TT,Hung D Le,1,"November 26, 2018",True,Not a Refurbished Iphone,"It is not a Refurbished iphone, it is activated",120.0,Apple,"Apple iPhone X, 256GB, Silver - For AT&T / T-Mobile (Renewed)",https://www.amazon.com/Apple-iPhone-Fully-Unlocked-256GB/dp/B0775451TT,https://m.media-amazon.com/images/I/81yZOQEC+NL._AC_UY218_ML3_.jpg,3.9,https://www.amazon.com/product-reviews/B0775451TT,436,479.0,749.99
41688,B0775451TT,Javier Martínez Hernández,1,"April 20, 2019",True,Possibility to change the phone?,I bought this phone and this is my first picture with the back camera and also when Im tapping look like multitouch. There is any possibility to change the phone?,101.0,Apple,"Apple iPhone X, 256GB, Silver - For AT&T / T-Mobile (Renewed)",https://www.amazon.com/Apple-iPhone-Fully-Unlocked-256GB/dp/B0775451TT,https://m.media-amazon.com/images/I/81yZOQEC+NL._AC_UY218_ML3_.jpg,3.9,https://www.amazon.com/product-reviews/B0775451TT,436,479.0,749.99
41689,B0775451TT,Raif Bucar,1,"January 8, 2019",True,Don't buy from this seller.,"This product is falsely labeled as unlocked, it's been 4 weeks since I informed that the phone was still locked and all I get are excuses. Plus, the phone came in a really bad condition, so many scratches you can see them very clearly.",95.0,Apple,"Apple iPhone X, 256GB, Silver - For AT&T / T-Mobile (Renewed)",https://www.amazon.com/Apple-iPhone-Fully-Unlocked-256GB/dp/B0775451TT,https://m.media-amazon.com/images/I/81yZOQEC+NL._AC_UY218_ML3_.jpg,3.9,https://www.amazon.com/product-reviews/B0775451TT,436,479.0,749.99
41690,B0775451TT,Dorothy W.,1,"April 16, 2019",True,THIS PHONE WAS NOT PAYED OFF,"I purchased a refurbished iPhone x, it arrived on time, came in clean , and with a charger.... i was excited about this phone because my other phone was stolen 3 months ago, i got a job and saved up to be able to afford a new one. We tried to set up the service with total wireless and the phone kept repeating the message that the sim card was not compatible.... so we bought another sim card and service plan by t mobile and got the same thing.... went into apple the next day to try to see if their was anything wrong with the phone... turns out their was nothing wrong with the phone, but the phone already had another service plan with at&t that wasn't even payed off.... so after wasting 10 hours off my time, and spending $60 (besides the $690 phone price) trying to set this stupid phone up with a service plan... i would review this 0 stars if i could",71.0,Apple,"Apple iPhone X, 256GB, Silver - For AT&T / T-Mobile (Renewed)",https://www.amazon.com/Apple-iPhone-Fully-Unlocked-256GB/dp/B0775451TT,https://m.media-amazon.com/images/I/81yZOQEC+NL._AC_UY218_ML3_.jpg,3.9,https://www.amazon.com/product-reviews/B0775451TT,436,479.0,749.99
41691,B0775451TT,Emilio,5,"December 12, 2018",True,Exceeded Expectations,I loved how new this phone looks and works. Everything works and the battery life was at 94% which is very good. I am very glad with this purchase and definitely recommend buying from them. Very skeptical before buying but now having the product it is definitely worth a buy if you are looking for a good phone.,64.0,Apple,"Apple iPhone X, 256GB, Silver - For AT&T / T-Mobile (Renewed)",https://www.amazon.com/Apple-iPhone-Fully-Unlocked-256GB/dp/B0775451TT,https://m.media-amazon.com/images/I/81yZOQEC+NL._AC_UY218_ML3_.jpg,3.9,https://www.amazon.com/product-reviews/B0775451TT,436,479.0,749.99
41692,B0775451TT,royalex,5,"December 31, 2018",True,Perfecto,"Soy de Costa Rica, Compre el X de 256, la verdad estaba algo nervioso por ser reconstruido, pero lo recibo ( un dia antes de lo previsto), y considero que este es el mejor negocio que se puede hacer, la bateria esta al 100%, pantalla intacta, funciona de maravilla, es como comprarlo nuevo de Apple.",58.0,Apple,"Apple iPhone X, 256GB, Silver - For AT&T / T-Mobile (Renewed)",https://www.amazon.com/Apple-iPhone-Fully-Unlocked-256GB/dp/B0775451TT,https://m.media-amazon.com/images/I/81yZOQEC+NL._AC_UY218_ML3_.jpg,3.9,https://www.amazon.com/product-reviews/B0775451TT,436,479.0,749.99
41693,B0775451TT,Adam e,5,"October 23, 2018",True,100% positive feedback,"Phone is basically New, everything works, no scratches or anything, fast delivery. Very satisfied !!",47.0,Apple,"Apple iPhone X, 256GB, Silver - For AT&T / T-Mobile (Renewed)",https://www.amazon.com/Apple-iPhone-Fully-Unlocked-256GB/dp/B0775451TT,https://m.media-amazon.com/images/I/81yZOQEC+NL._AC_UY218_ML3_.jpg,3.9,https://www.amazon.com/product-reviews/B0775451TT,436,479.0,749.99
41694,B0775451TT,Zack Quebrem,1,"April 8, 2019",True,Scratched up phone right out of the box,"The phone was reported STOLEN AND WAS SHUT OFF BY ATT. THIS SELLER IS A SCAMMER. DO NOT BUY FROM THEM. Straight out of the box the phone had A LOT of scratches both on the screen and back of the phone. Pretty disappointed, knew the phone was coming at a discount but it’s basically already ready for a screen replacement. The phone itself is super glitchy, can’t even sign in to my WiFi on the next screen. It also does not come with any original box nor headphones. One after market, cheap phone charger included.",27.0,Apple,"Apple iPhone X, 256GB, Silver - For AT&T / T-Mobile (Renewed)",https://www.amazon.com/Apple-iPhone-Fully-Unlocked-256GB/dp/B0775451TT,https://m.media-amazon.com/images/I/81yZOQEC+NL._AC_UY218_ML3_.jpg,3.9,https://www.amazon.com/product-reviews/B0775451TT,436,479.0,749.99
41695,B0775451TT,Darianny,5,"April 18, 2019",True,Love it,Love Love Love it came in perfect condition and it works perfect❤️❤️❤️❤️,22.0,Apple,"Apple iPhone X, 256GB, Silver - For AT&T / T-Mobile (Renewed)",https://www.amazon.com/Apple-iPhone-Fully-Unlocked-256GB/dp/B0775451TT,https://m.media-amazon.com/images/I/81yZOQEC+NL._AC_UY218_ML3_.jpg,3.9,https://www.amazon.com/product-reviews/B0775451TT,436,479.0,749.99
